0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.132608	19.13986
624.2639	614.0814	602.1016	712.3445	722.6934	696.9565	227.216	0	69.91262	129.6296	510.513	728.2661	728.2661	728.2661	674.4428	599.4655	469.4672	4.351021	8.369874
87.02599	0	0	0	0	0	0	0	0	251.0801	730.5471	286.7045	271.6739	428.0977	758.4338	538.3081	227.2399	5.054444	27.72663
0	0	0	0	0	0	0	0	0	0	0	17.20055	440.7399	223.3325	0	0	23.31693	6.906677	10.93784
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.492004	48.58331
20.92295	342.9978	342.9978	342.9978	255.1931	0	0	0	0	0	0	0	0	112.295	0	90.89494	340.9398	0.7228141	55.56137
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.666343	7.341278
156.8715	0	0	0	0	0	338.346	740.0452	737.6995	739.9146	762.5271	725.0431	253.1192	0	0	0	0	7.130945	105.9718
92.61013	547.7999	873.674	911.4938	903.3254	193.9576	0	0	0	0	0	0	0	0	0	0	0	5.562876	175.9642
470.0085	498.0928	0.7346534	582.1166	284.6844	0	0	0	0	0	0	125.5895	716.8036	744.9528	734.6592	734.6592	703.8027	6.462942	80.56335
890.5295	0	1355.509	987.2502	916.2924	957.2463	928.5349	873.674	219.2945	0	0	0	0	0	590.837	77.01888	0	6.172695	158.5671
349.8365	568.9657	1114.732	1053.063	1373.855	1416.347	1416.347	1264.794	365.4164	0	0	0	0	0	0	0	294.2554	5.488146	9.221649
657.5793	1035.754	618.4553	422.4716	607.4564	666.3589	656.9835	282.3193	41.21173	1.2302	3.0755	19.0681	251.4732	618.7636	941.8839	964.0037	1124.671	6.339929	81.407
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.66687	127.1526
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.741359	135.2609
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.810671	119.2084
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.701232	136.6957
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.283559	56.86349
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.246658	132.4431
0	0	0	0	0	0.6151	0	0	0	0	0	0	0	0	0	14.88385	0	5.805079	9.052582
113.6436	278.6399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3057	7.435847	41.28467
16.06322	0	0	0	0	1.784051	101.7571	0	0	0	0	0	0	0	0	0	0	4.259437	76.82315
0	0	0	0	0	0	744.7849	128.5956	0	0	0	0	0	0	0	0	0	7.38572	97.30567
0	0	4.369546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.875366	52.18822
882.7991	0	0	0	0	663.3493	1629.257	95.42747	0	0	0	0	103.1446	752.5824	229.0873	0	0	1.81796	4.705029
3.086993	0	0	50.42082	309.4261	342.9978	339.9109	28.46892	0	0	0	0	0	0	64.48776	0	0	0.4481939	106.9332
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.67865	103.9206
0	0	0	207.4147	157.6691	225.5773	233.1239	0.5831046	0	0	0	0	0	0	0	0	0	3.652829	139.1284
20.9432	0	0	0	0	0	0	0	80.54873	26.30161	96.29279	65.93836	0	0	0	0	0	3.498323	147.0989
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.464775	137.2074
0	0	0	0	0	0	0	0	0	332.0865	570.9595	28.40202	0	0	0	0	0	4.732226	175.8259
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.836488	147.2344
