621.7869	643.7186	672.478	628.3008	617.4374	468.0589	241.0566	73.25737	0	0.3734667	0.3641632	1.10373	3.376113	2.242718	33.70786	182.2996	230.6311	294.1939	371.6859	297.2212	287.5756	429.7824	601.7769	617.7789
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.968826	94.50996	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	39.2128	400.4916	666.8855	683.3898	439.714	53.64864	0	0	82.58572	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
445.9386	51.5984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.65086	437.6807	664.8184	652.438
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	140.192	221.133	218.3068	69.54363	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.90851	3.719058	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	1.401986	47.46633	56.60873	42.36703	2.480832	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	53.39931	380.6195	503.6267	581.8439	601.1059	122.5216	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	274.7108	298.2264	155.909	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	25.66823	453.8272	614.8012	673.4643	458.0016	23.53017	0	0	44.21621	0	0	0	0	0
